handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_16748cd3-85de-d7d0-c7ee-676bda3a72ce,Product,Eau d'aloe vera bio,"<p>Pensez à toujours l'avoir avec vous!</p><p>&nbsp;</p><p><span><span><span><span><span><span><span>Eau d'aloe vera bio, un précieux allié pour&nbsp;parfaire le nettoyage de votre visage en l’appliquant &nbsp;après le nettoyage et avant votre crème. </span></span></span></span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span><span><span><span>Peut-être efficace contre les peaux déshydratées, sèches, matures, grasses à tendance acnéique, irritées et sensibles. Peut aider à apaiser les coups de soleil et irritations contre le feu du rasoir. Peut-être utiliser sur la peau, le cuir chevelu et les cheveux fins sans volume, secs, cassants, abîmés et sur cuir chevelu irrité et sensible. </span></span></span></span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span><span><span><span>Faites un test au préalable si première utilisation.</span></span></span></span></span></span></span></p><p>&nbsp;</p><p>Le saviez-vous? Les eaux florales ou hydrolats, naturels et chargés en principes actifs, &nbsp;remplacent idéalement les lotions&nbsp;toniques!</p><p>&nbsp;</p><p>S'utilise pour parfaire le démaquillage, nettoyage du visage, tonifier ou&nbsp;apporter un&nbsp;soin apaisant et rafraichissant&nbsp;pour le&nbsp;visage, le&nbsp;cuir&nbsp;chevelu&nbsp;et aussi pour discipliner et&nbsp;parfumer les cheveux...d'une façon saine et naturelle!!</p><p>&nbsp;</p><p>Les hydrolats (terme générique&nbsp;partie de la plante utilisée : feuilles et/ou&nbsp;tiges avec ou sans fleurs&nbsp;et/ou&nbsp;écorces et/ou&nbsp;racines)&nbsp;ou eaux florales (partie de la plante utilisée : fleurs)&nbsp;étant des résidus acqueux issus de l'extraction des huiles essentielles par distillation à la vapeur et contiennent des principes actifs précieux pour la peau et&nbsp;sont utilisés par un&nbsp;grand&nbsp;nombre de personnes&nbsp;comme une lotion tonique.</p><p>&nbsp;</p><p>Ces hydrolats conviennent à tous types de peaux selon ses besoins et envies.</p><p>Voici quelques indications générales pour vous aider à choisir :</p><p>&nbsp;</p><p><strong>Eau d'aloe vera bio&nbsp;</strong></p><p><em>Vertus attribuées: Hydratantes,&nbsp;protectrices et&nbsp;réparatrices</em></p><p>- Peaux: Déshydratées et sèches, matures, grasses&nbsp;à tendance acnéique,&nbsp;irritées,&nbsp;&nbsp;sensibles,&nbsp;coups de soleil, brûlures, feu du rasoir</p><p>- Cheveux: Fragiles, fins, sans volume,&nbsp;secs, cassants,&nbsp;abîmés, cuir chevelu irrité et&nbsp;sensible</p><p>&nbsp;</p><p><strong>Eau de rose bio&nbsp;</strong></p><p><em>Vertus atribuées: Astringentes, apaisantes, assainissantes, donne de l'éclat</em></p><p>- Peaux: Matures, sèches, réactives, irritées, sensibles&nbsp;(rougeurs et&nbsp;irritations),&nbsp;grasses&nbsp;à tendance acnéique,&nbsp;eczéma, feu du rasoir...</p><p>-&nbsp;Cuir chevelu irrité, sensible</p><p>&nbsp;</p><p><strong>Eau de fleur&nbsp;d'oranger bio&nbsp;</strong></p><p><em>Vertus attribuées: Rafraichissantes, régénérantes, tonifiantes, stimule l'éclat&nbsp;</em></p><p>- Peaux: Ternes, fatiguées, sensibles, fragiles,&nbsp;délicates (enfants),&nbsp;matures, sèches, irritées, &nbsp;</p><p>- Cheveux: Cassants,&nbsp;dévitalisés,&nbsp;fragiles, fins, sans volume,&nbsp;chevelu irrité et&nbsp;sensible</p><p>&nbsp;</p><p><strong>Hydrolat de lavande officinale bio&nbsp;</strong></p><p><em>Vertus attribuées: Purifiantes, adoucissantes, revitalisantes, apaisantes</em></p><p>- Peaux: Grasses à tendance acnéiques, eczéma, démangeaisons, fragiles, délicates (enfants), sensibles, irritées,&nbsp;rougeurs, coup de soleil, brulures, feu du rasoir</p><p>- Cheveux gras, cuir chevelu irrité et sensible</p><p>&nbsp;</p><p><strong>Hydrolat de menthe poivrée bio -&nbsp;Effet glaçon!</strong></p><p><em>Vertus attribuées: Purifiantes, stimulantes,&nbsp;rafraichissantes,&nbsp;tonifiantes&nbsp;et apaisantes&nbsp;</em></p><p>- Peaux:&nbsp;Grasses à&nbsp;tendance acnéique,&nbsp;réactives, sensibles aux rougeurs et aux irritations,&nbsp;ternes, fatiguées, irrégulières, coups de soleil, brûlures</p><p>- Cheveux: &nbsp;Gras, Cuir chevelu irrité, sensible, pellicules&nbsp;</p><p>&nbsp;</p><p><strong>Hydrolat d'hélichryse (immortelle) bio&nbsp;</strong></p><p><em>Vertus attribuées: Régénérantes, purifiantes,&nbsp;apaisantes, anti-inflammatoire&nbsp;&amp;&nbsp;raffermissantes</em>&nbsp;</p><p>- Peaux: Matures,&nbsp;acnéiques, irritées, eczéma,&nbsp;réactives, sensibles aux rougeurs,&nbsp;sèches, ternes, fatiguées,&nbsp;coups de soleil, feu du rasoir,&nbsp;</p><p>- Yeux: Cernes, poches, rides et ridules</p><p>- Cheveux ternes et cuir chevelu irrité&nbsp;et sensible</p><p>&nbsp;</p><p><strong>Hydrolat de tilleul bio&nbsp;</strong></p><p><em>Vertus attribuées : Apaisante&nbsp;et calmante</em></p><p>- Peaux: &nbsp;Fragiles et délicates (enfants),&nbsp;ternes, fatiguées,&nbsp;irritées, eczéma, gerçures, sensibles et sujettes à inconfort, coups de soleil, brûlures, feu du rasoir</p><p>- Cheveux ternes et&nbsp;sans vie</p><p>&nbsp;</p><p>Ces hydrolats sont naturels, biodégradables et non testés sur les animaux.</p>",a6901a_7b3e6d4d1aa945959f055a7af2fb7a98~mv2.jpg;a6901a_a8fe3498747f4fd9a9665d7a854ada35~mv2.png,Soins de la peau;Vegan,,Hydrolat,16.0,,false,PERCENT,0.0,0,,,Eau,DROP_DOWN,Eau d'Aloe Vera Bio,Taille,DROP_DOWN,120ml bouchon flip flop,,,,,,,,,,,,,Forme,"<p>Liquide</p>
",,,,,,,,,,,,,,,,,
product_16748cd3-85de-d7d0-c7ee-676bda3a72ce,Variant,,,,,,,,,true,,,3,0.075,,,,Eau d'Aloe Vera Bio,,,120ml bouchon flip flop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_40c857e6-9164-e74b-6211-e04996352c34,Product,Masque Visage Argile Rouge à l'extrait d'Echinacée et de Pivoine,"<p>Adapté aux peaux normales, mixtes, grasses, réactives, matures et sèches et est idéale pour les peaux&nbsp;ternes, fatiguées et irritées. L'argile rouge, riche en fer, est appréciée pour ses propriétés purifiantes, détoxifiantes et revitalisantes, elle apporte un éclat naturel à la peau tout en l'adoucissant et la purifiant.</p><p>&nbsp;</p><p>Retrouvez un peau lumineuse et rayonnante &nbsp;avec notre masque visage à l'argile rouge&nbsp;illite aux extraits d'échinacée et de pivoine&nbsp;aux vertus anti-inflammatoires, apaisantes et anti-radiculaires et de&nbsp;la glycérine végétale&nbsp;pour ces vertus hydratantes et émollientes qui donnent de la souplesse à la peau.</p><p>&nbsp;</p><p>Mode d'emploi :</p><p>Appliquer le masque en fine couche sur le visage et cou préalablement nettoyés en évitant le contour des yeux. Laissez poser 10 - 15 minutes&nbsp;puis bien rincer à l'eau.</p><p>Pour de meilleurs résultats, utiliser le masque 2 fois par semaine.</p><p>&nbsp;</p><p>Astuce :</p><p>L'efficacité du masque sera meilleure sur une peau préalablement exfoliée. L'exfoliation consiste à enlever les peaux mortes fixées à la base de la peau. Celle-ci permet alors non seulement d'ouvrir les pores bouchés permettant le masque de mieux absorber les impuretés et sébum mais&nbsp;permet également la peau de gagner en douceur et en éclat. Ainsi vos produits de soins hydratants/anti-âge et autres seront mieux absorbés par la peau.&nbsp;</p><p>&nbsp;</p><p><em>Produit fait main dans l'atélier de So You à Genève. </em></p><p><em>Non testé sur les animaux et&nbsp;respectueux de la Nature.</em></p><p>&nbsp;</p><p>Ingrédients :&nbsp;Aqua (Water), Illite, Glycerin, Butylene Glycol,Kaolin, Polyacrylate Crosspolymer-6, Benzyl Alco-hol, Xanthan Gum,Salicylic Acid, Parfum(Fragrance),T-Butyl Alcohol, Sorbic Acid,Echinacea AngustifoliaExtract, PaeoniaFlower Extract, Sodium Hydroxide</p>",a6901a_355ae8c5ec80456c9f91e4d73c393ce3~mv2.jpg;a6901a_6267052671304d41b218d5c42fe5aeda~mv2.jpg,Soins de la peau;Soins du visage,,Masque purifiant,15.0,,false,PERCENT,0.0,0,,,Taille,DROP_DOWN,15ml;30ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_40c857e6-9164-e74b-6211-e04996352c34,Variant,,,,,,,,10.5,true,,,3,0.075,,,,30ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_40c857e6-9164-e74b-6211-e04996352c34,Variant,,,,,,,,,true,,,3,0.075,,,,15ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8702d09b-dedf-2bf8-c0d7-157edc5edbf7,Product,Masque Visage Argile Jaune à l'extrait de ginseng,"<p>Adapté aux peaux normales, mixtes, grasses, réactives et est idéale pour les peaux&nbsp;ternes, fatiguées et sensibles.</p><p>&nbsp;</p><p>Retrouvez un peau lumineuse&nbsp;avec notre masque visage à l'argile jaune illite qui est naturellement riche en minéraux et oligoéléments aux effets équilibrants et stimulants, va absorber l'excès de sébum, détoxifier et purifier la peau en profondeur. &nbsp;Alors que extrait de ginseng va apporter ses bienfaits anti-âge, la glycérine végétale&nbsp;va apporter les&nbsp;vertus hydratantes et émollientes qui donnent de la souplesse à la peau.</p><p>&nbsp;</p><p>Mode d'emploi :</p><p>Appliquer le masque en fine couche sur le visage et cou préalablement nettoyés en évitant le contour des yeux. Laissez poser 10 - 15 minutes&nbsp;puis bien rincer à l'eau.</p><p>Pour de meilleurs résultats, utiliser le masque 2 fois par semaine.</p><p>&nbsp;</p><p>Astuce :</p><p>L'efficacité du masque sera meilleure sur une peau préalablement exfoliée. L'exfoliation consiste à enlever les peaux mortes fixées à la base de la peau. Celle-ci permet alors non seulement d'ouvrir les pores bouchés permettant le masque de mieux absorber les impuretés et sébum mais&nbsp;permet également la peau de gagner en douceur et en éclat. Ainsi vos produits de soins hydratants/anti-âge et autres seront mieux absorbés par la peau.&nbsp;</p><p>&nbsp;</p><p><em>Produit fait main dans l'atélier de So You à Genève. </em></p><p><em>Non testé sur les animaux et&nbsp;respectueux de la Nature.</em></p><p>&nbsp;</p><p>Ingrédients : Aqua (Water), Illite, Butylene Glycol, Glycerin, Kaolin, Polyacrylate Crosspolymer-6, Benzyl&nbsp;alcohol, &nbsp;Xanthan Gum, Salicylic Acid, Panax&nbsp;Ginseng Root Powder, Parfum (Fragrance),T-Butyl Alcohol, Sorbic Acid, Sodium Hydroxide</p>",a6901a_b486c2ed83a04bb3ae0f8e3f05c5f114~mv2.jpg;a6901a_f18f5ef24ac64b92972eadfe047254d2~mv2.jpg,Soins de la peau;Soins du visage;Féminin/Masculin,,Masque purifiant,15.0,,false,PERCENT,0.0,0,,,Taille,DROP_DOWN,15ml;30ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8702d09b-dedf-2bf8-c0d7-157edc5edbf7,Variant,,,,,,,,10.5,true,,,3,0.075,,,,30ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8702d09b-dedf-2bf8-c0d7-157edc5edbf7,Variant,,,,,,,,,true,,,3,0.075,,,,15ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_857c89bd-6eb2-8713-47b8-5327d14e7218,Product,Pots Bocaux en Pet,<p>Pour conserver et transporter vos produits cosmétiques et autres etc...</p>,a6901a_fe8e9bf012f344fabc5efd44bdd13c1c~mv2_d_1774_2364_s_2.png,Contenants cosmétiques,,Flacon pet,3.5,,true,PERCENT,0.0,0,,,Taille et bouchon,DROP_DOWN,100ml couvercle alu;150ml couvercle alu;200ml couvercle alu,,,,,,,,,,,,,,,,Forme,"<p>Pot</p>
",,,,,,,,,,,,,,,,,
product_857c89bd-6eb2-8713-47b8-5327d14e7218,Variant,,,,,,,,,true,,,6,0.075,,,,100ml couvercle alu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
